,01.Well Identifier,02.Formation,03.Formation Depth,04.Description,04.Quality1
3386,00/11-36-062-25W5/0,1700 CARDIUM FM,1469.5,Top of Unit,Good Log
3387,00/11-36-062-25W5/0,1920 DUNVEGAN FM,1770.5,Top of Unit,Good Log
3388,00/11-36-062-25W5/0,2060 BASE FISH SCALES MARKER,1890.0,Top of Unit,Good Log
3389,00/11-36-062-25W5/0,2300 PADDY MBR,1947.5,Top of Unit,Good Log
3390,00/11-36-062-25W5/0,2320 CADOTTE MBR,1967.0,Top of Unit,Good Log
3391,00/11-36-062-25W5/0,2640 SPIRIT RIVER FM,1982.0,Top of Unit,Good Log
3392,00/11-36-062-25W5/0,3040 BLUESKY FM,2245.0,Top of Unit,Good Log
3393,00/11-36-062-25W5/0,3260 GETHING FM,2262.5,Top of Unit,Good Log
3394,00/11-36-062-25W5/0,3480 CADOMIN FM,2367.0,Top of Unit,Good Log
3395,00/11-36-062-25W5/0,4140 FERNIE GRP,2380.0,Top of Unit,Good Log
3396,00/11-36-062-25W5/0,4440 NORDEGG MBR,2412.5,Top of Unit,Good Log
3397,00/11-36-062-25W5/0,5240 MONTNEY FM,2439.31,Top of Unit,Good Log
3398,00/11-36-062-25W5/0,5560 BELLOY FM,2566.0,Top of Unit,Good Log
3399,00/11-36-062-25W5/0,6120 DEBOLT FM,2587.0,Top of Unit,Good Log
3400,00/11-36-062-25W5/0,6400 SHUNDA FM,2678.0,Top of Unit,Good Log
3401,00/11-36-062-25W5/0,6420 PEKISKO FM,2781.5,Top of Unit,Good Log
3402,00/11-36-062-25W5/0,6440 BANFF FM,2828.0,Top of Unit,Good Log
3403,00/11-36-062-25W5/0,6480 EXSHAW FM,3022.93,Top of Unit,Good Log
3404,00/11-36-062-25W5/0,6580 WABAMUN GRP,3027.5,Top of Unit,Good Log
3405,00/11-36-062-25W5/0,6700 WINTERBURN GRP,3246.0,Top of Unit,Good Log
3406,00/11-36-062-25W5/0,7100 IRETON FM,3461.0,Top of Unit,Good Log
3407,00/11-36-062-25W5/0,7280 DUVERNAY FM,3622.18,Top of Unit,Good Log
3408,00/11-36-062-25W5/0,7440 BEAVERHILL LAKE GRP,3658.5,Top of Unit,Good Log
3409,00/11-36-062-25W5/0,7645 WATT MTN FM,3767.5,Top of Unit,Good Log
3410,00/11-36-062-25W5/0,7655 GILWOOD MBR,3778.35,Top of Unit,Good Log
3411,00/06-11-033-24W4/0,1260 BELLY RIVER GRP,610.5,Top of Unit,Good Log
3412,00/06-11-033-24W4/0,1400 LEA PARK FM,891.5,Top of Unit,Good Log
3413,00/06-11-033-24W4/0,1600 COLORADO GRP,1028.3,Top of Unit,Good Log
3414,00/06-11-033-24W4/0,1860 SECOND WHITE SPECKS,1301.0,Top of Unit,Good Log
3415,00/06-11-033-24W4/0,2060 BASE FISH SCALES MARKER,1407.3,Top of Unit,Good Log
3416,00/06-11-033-24W4/0,2140 VIKING FM,1429.0,Top of Unit,Good Log
3417,00/06-11-033-24W4/0,2180 VIKING SANDSTONE,1438.0,Top of Unit,Good Log
3418,00/06-11-033-24W4/0,2360 JOLI FOU FM,1488.0,Top of Unit,Good Log
3419,00/06-11-033-24W4/0,2480 MANNVILLE GRP,1509.0,Top of Unit,Good Log
3420,00/06-11-033-24W4/0,3100 LOWER MANNVILLE FM,1597.5,Top of Unit,Good Log
3421,00/06-11-033-24W4/0,3360 ELLERSLIE MBR,1616.0,Top of Unit,Good Log
3422,00/06-11-033-24W4/0,6420 PEKISKO FM,1648.0,Top of Unit,Good Log
3423,00/06-11-033-24W4/0,6440 BANFF FM,1684.0,Top of Unit,Good Log
3424,00/06-11-033-24W4/0,6480 EXSHAW FM,1833.0,Top of Unit,Good Log
3425,00/06-11-033-24W4/0,6600 BIG VALLEY FM,1843.0,Top of Unit,Good Log
3426,00/06-11-033-24W4/0,6660 STETTLER FM,1855.0,Top of Unit,Good Log
3427,00/06-11-033-24W4/0,6860 CALMAR FM,2042.0,Top of Unit,Good Log
3428,00/06-11-033-24W4/0,6960 NISKU FM,2048.5,Top of Unit,Good Log
3429,00/06-11-033-24W4/0,7100 IRETON FM,2110.0,Top of Unit,Good Log
3430,00/06-11-033-24W4/0,7280 DUVERNAY FM,2211.0,Top of Unit,Questionable Log
3431,00/06-11-033-24W4/0,7320 COOKING LAKE FM,2281.5,Top of Unit,Good Log
3432,00/06-11-033-24W4/0,7440 BEAVERHILL LAKE GRP,2343.0,Top of Unit,Good Log
3433,00/06-11-033-24W4/0,7635 ELK POINT GRP,2526.0,Top of Unit,Questionable Log
3434,00/15-35-044-02W5/0,1240 BEARPAW FM,614.5,Top of Unit,Good Log
3435,00/15-35-044-02W5/0,1260 BELLY RIVER GRP,730.7,Top of Unit,Good Log
3436,00/15-35-044-02W5/0,1400 LEA PARK FM,1061.0,Top of Unit,Good Log
3437,00/15-35-044-02W5/0,1600 COLORADO GRP,1195.7,Top of Unit,Good Log
3438,00/15-35-044-02W5/0,1700 CARDIUM FM,1332.0,Top of Unit,Good Log
3439,00/15-35-044-02W5/0,1760 CARDIUM SD,1366.3,Top of Unit,Good Log
3440,00/15-35-044-02W5/0,1860 SECOND WHITE SPECKS,1448.0,Top of Unit,Good Log
3441,00/15-35-044-02W5/0,2060 BASE FISH SCALES MARKER,1577.7,Top of Unit,Good Log
3442,00/15-35-044-02W5/0,2140 VIKING FM,1602.7,Top of Unit,Good Log
3443,00/15-35-044-02W5/0,2180 VIKING SANDSTONE,1614.5,Top of Unit,Good Log
3444,00/15-35-044-02W5/0,2360 JOLI FOU FM,1639.7,Top of Unit,Good Log
3445,00/15-35-044-02W5/0,2480 MANNVILLE GRP,1660.3,Top of Unit,Good Log
3446,00/15-35-044-02W5/0,3000 GLAUCONITIC SS,1772.3,Top of Unit,Good Log
3447,00/15-35-044-02W5/0,3100 LOWER MANNVILLE FM,1787.5,Top of Unit,Good Log
3448,00/15-35-044-02W5/0,3360 ELLERSLIE MBR,1802.7,Top of Unit,Good Log
3449,00/15-35-044-02W5/0,6440 BANFF FM,1855.5,Top of Unit,Good Log
3450,00/15-35-044-02W5/0,6480 EXSHAW FM,1948.3,Top of Unit,Good Log
3451,00/15-35-044-02W5/0,6600 BIG VALLEY FM,1960.0,Top of Unit,Good Log
3452,00/15-35-044-02W5/0,6660 STETTLER FM,1986.5,Top of Unit,Good Log
3453,00/15-35-044-02W5/0,6780 GRAMINIA FM,2162.0,Top of Unit,Good Log
3454,00/15-35-044-02W5/0,6800 BLUERIDGE MBR,2166.5,Top of Unit,Good Log
3455,00/15-35-044-02W5/0,6860 CALMAR FM,2183.0,Top of Unit,Good Log
3456,00/15-35-044-02W5/0,6960 NISKU FM,2191.5,Top of Unit,Good Log
3457,00/15-35-044-02W5/0,7100 IRETON FM,2247.7,Top of Unit,Good Log
3458,00/15-35-044-02W5/0,7280 DUVERNAY FM,2479.0,Top of Unit,Good Log
3459,00/15-35-044-02W5/0,7440 BEAVERHILL LAKE GRP,2547.0,Top of Unit,Good Log
3460,00/15-35-044-02W5/0,7635 ELK POINT GRP,2746.3,Top of Unit,Good Log
3461,00/15-35-044-02W5/0,7867 FINNEGAN FM,2883.3,Top of Unit,Good Log
3462,00/15-35-044-02W5/0,7893 DEADWOOD FM,2921.0,Top of Unit,Questionable Log
3463,00/10-12-063-15W5/0,2060 BASE FISH SCALES MARKER,1407.0,Top of Unit,Good Log
3464,00/10-12-063-15W5/0,2140 VIKING FM,1447.0,Top of Unit,Questionable Log
3465,00/10-12-063-15W5/0,2480 MANNVILLE GRP,1481.5,Top of Unit,Good Log
3466,00/10-12-063-15W5/0,3040 BLUESKY FM,1683.5,Top of Unit,Good Log
3467,00/10-12-063-15W5/0,3260 GETHING FM,1691.5,Top of Unit,Questionable Log
3468,00/10-12-063-15W5/0,4440 NORDEGG MBR,1772.0,Top of Unit,Good Log
3469,00/10-12-063-15W5/0,5560 BELLOY FM,1793.0,Top of Unit,Good Log
3470,00/10-12-063-15W5/0,6400 SHUNDA FM,1798.5,Top of Unit,Questionable Log
3471,00/10-12-063-15W5/0,6420 PEKISKO FM,1841.0,Top of Unit,Good Log
3472,00/10-12-063-15W5/0,6440 BANFF FM,1886.0,Top of Unit,Good Log
3473,00/10-12-063-15W5/0,6480 EXSHAW FM,2073.5,Top of Unit,Good Log
3474,00/10-12-063-15W5/0,6580 WABAMUN GRP,2079.0,Top of Unit,Good Log
3475,00/10-12-063-15W5/0,6780 GRAMINIA FM,2309.0,Top of Unit,Good Log
3476,00/10-12-063-15W5/0,6800 BLUERIDGE MBR,2315.0,Top of Unit,Good Log
3477,00/10-12-063-15W5/0,7100 IRETON FM,2494.0,Top of Unit,Questionable Log
3478,00/10-12-063-15W5/0,7440 BEAVERHILL LAKE GRP,2764.0,Top of Unit,Good Log
3479,00/10-12-063-15W5/0,7560 SWAN HILLS MBR,2773.0,Top of Unit,Good Log
3480,00/10-12-063-15W5/0,7645 WATT MTN FM,2888.0,Top of Unit,Good Log
3481,00/11-26-053-15W5/0,1400 LEA PARK FM,1364.0,Top of Unit,Good Log
3482,00/11-26-053-15W5/0,1600 COLORADO GRP,1492.0,Top of Unit,Good Log
3483,00/11-26-053-15W5/0,1760 CARDIUM SD,1671.0,Top of Unit,Good Log
3484,00/11-26-053-15W5/0,1860 SECOND WHITE SPECKS,1775.0,Top of Unit,Good Log
3485,00/11-26-053-15W5/0,2060 BASE FISH SCALES MARKER,1981.0,Top of Unit,Good Log
3486,00/11-26-053-15W5/0,2180 VIKING SANDSTONE,2012.0,Top of Unit,Good Log
3487,00/11-26-053-15W5/0,2360 JOLI FOU FM,2047.0,Top of Unit,Good Log
3488,00/11-26-053-15W5/0,2480 MANNVILLE GRP,2052.0,Top of Unit,Good Log
3489,00/11-26-053-15W5/0,4140 FERNIE GRP,2301.0,Top of Unit,Good Log
3490,00/11-26-053-15W5/0,4440 NORDEGG MBR,2321.0,Top of Unit,Good Log
3491,00/11-26-053-15W5/0,6400 SHUNDA FM,2362.0,Top of Unit,Good Log
3492,00/11-26-053-15W5/0,6420 PEKISKO FM,2406.0,Top of Unit,Good Log
3493,00/11-26-053-15W5/0,6440 BANFF FM,2449.0,Top of Unit,Good Log
3494,00/11-26-053-15W5/0,6480 EXSHAW FM,2611.0,Top of Unit,Good Log
3495,00/11-26-053-15W5/0,6580 WABAMUN GRP,2614.0,Top of Unit,Good Log
3496,00/11-26-053-15W5/0,6700 WINTERBURN GRP,2834.0,Top of Unit,Good Log
3497,00/11-26-053-15W5/0,7040 WOODBEND GRP,2922.0,Top of Unit,Good Log
3498,00/11-26-053-15W5/0,7280 DUVERNAY FM,3203.0,Top of Unit,Good Log
3499,00/11-26-053-15W5/0,7320 COOKING LAKE FM,3234.0,Top of Unit,Good Log
3500,00/11-26-053-15W5/0,7440 BEAVERHILL LAKE GRP,3274.0,Top of Unit,Good Log
3501,00/11-26-053-15W5/0,7560 SWAN HILLS MBR,3295.0,Top of Unit,Good Log
3502,00/11-26-053-15W5/0,7635 ELK POINT GRP,3382.0,Top of Unit,Good Log
3503,00/10-34-032-21W4/0,1260 BELLY RIVER GRP,486.2,Top of Unit,Good Log
3504,00/10-34-032-21W4/0,1400 LEA PARK FM,779.1,Top of Unit,Good Log
3505,00/10-34-032-21W4/0,1600 COLORADO GRP,926.6,Top of Unit,Good Log
3506,00/10-34-032-21W4/0,1860 SECOND WHITE SPECKS,1180.2,Top of Unit,Good Log
3507,00/10-34-032-21W4/0,2060 BASE FISH SCALES MARKER,1271.9,Top of Unit,Good Log
3508,00/10-34-032-21W4/0,2180 VIKING SANDSTONE,1306.4,Top of Unit,Good Log
3509,00/10-34-032-21W4/0,2480 MANNVILLE GRP,1385.6,Top of Unit,Good Log
3510,00/10-34-032-21W4/0,3340 BASAL QUARTZ SD,1499.6,Top of Unit,Good Log
3511,00/10-34-032-21W4/0,6440 BANFF FM,1530.1,Top of Unit,Good Log
3512,00/10-34-032-21W4/0,6480 EXSHAW FM,1623.4,Top of Unit,Good Log
3513,00/10-34-032-21W4/0,6580 WABAMUN GRP,1642.9,Top of Unit,Good Log
3514,00/10-34-032-21W4/0,6660 STETTLER FM,1655.1,Top of Unit,Good Log
3515,00/10-34-032-21W4/0,6960 NISKU FM,1837.6,Top of Unit,Good Log
3516,00/10-34-032-21W4/0,7100 IRETON FM,1879.4,Top of Unit,Good Log
3517,00/10-34-032-21W4/0,7280 DUVERNAY FM,2012.0,Top of Unit,Good Log
3518,00/10-34-032-21W4/0,7320 COOKING LAKE FM,2080.0,Top of Unit,Good Log
3519,00/10-34-032-21W4/0,7440 BEAVERHILL LAKE GRP,2145.5,Top of Unit,Good Log
3520,00/11-06-064-26W5/0,1400 LEA PARK FM,1175.5,Top of Unit,Questionable Log
3521,00/11-06-064-26W5/0,1660 BADHEART FM,1367.5,Top of Unit,Good Log
3522,00/11-06-064-26W5/0,1700 CARDIUM FM,1419.0,Top of Unit,Good Log
3523,00/11-06-064-26W5/0,1760 CARDIUM SD,1433.0,Top of Unit,Good Log
3524,00/11-06-064-26W5/0,1820 KASKAPAU FM,1462.5,Top of Unit,Good Log
3525,00/11-06-064-26W5/0,1860 SECOND WHITE SPECKS,1561.7,Top of Unit,Good Log
3526,00/11-06-064-26W5/0,1920 DUNVEGAN FM,1763.0,Top of Unit,Good Log
3527,00/11-06-064-26W5/0,1960 SHAFTESBURY FM,1828.8,Top of Unit,Good Log
3528,00/11-06-064-26W5/0,2060 BASE FISH SCALES MARKER,1901.3,Top of Unit,Good Log
3529,00/11-06-064-26W5/0,2300 PADDY MBR,1965.6,Top of Unit,Good Log
3530,00/11-06-064-26W5/0,2320 CADOTTE MBR,1975.0,Top of Unit,Good Log
3531,00/11-06-064-26W5/0,2380 HARMON MBR,1995.2,Top of Unit,Questionable Log
3532,00/11-06-064-26W5/0,2640 SPIRIT RIVER FM,2012.5,Top of Unit,Good Log
3533,00/11-06-064-26W5/0,3260 GETHING FM,2276.0,Top of Unit,Good Log
3534,00/11-06-064-26W5/0,3480 CADOMIN FM,2410.4,Top of Unit,Good Log
3535,00/11-06-064-26W5/0,4140 FERNIE GRP,2421.0,Top of Unit,Good Log
3536,00/11-06-064-26W5/0,4440 NORDEGG MBR,2475.0,Top of Unit,Good Log
3537,00/11-06-064-26W5/0,5240 MONTNEY FM,2498.0,Top of Unit,Good Log
3538,00/11-06-064-26W5/0,5560 BELLOY FM,2657.9,Top of Unit,Good Log
3539,00/11-06-064-26W5/0,6120 DEBOLT FM,2681.3,Top of Unit,Good Log
3540,00/11-06-064-26W5/0,6400 SHUNDA FM,2831.0,Top of Unit,Questionable Log
3541,00/11-06-064-26W5/0,6420 PEKISKO FM,2931.8,Top of Unit,Good Log
3542,00/11-06-064-26W5/0,6440 BANFF FM,2984.1,Top of Unit,Good Log
3543,00/11-06-064-26W5/0,6480 EXSHAW FM,3188.3,Top of Unit,Good Log
3544,00/11-06-064-26W5/0,6580 WABAMUN GRP,3191.0,Top of Unit,Good Log
3545,00/11-06-064-26W5/0,6700 WINTERBURN GRP,3403.5,Top of Unit,Good Log
3546,00/11-06-064-26W5/0,7100 IRETON FM,3630.0,Top of Unit,Good Log
3547,00/11-06-064-26W5/0,7280 DUVERNAY FM,3794.5,Top of Unit,Good Log
3548,00/11-06-064-26W5/0,7400 MAJEAU LAKE FM,3817.5,Top of Unit,Questionable Log
3549,00/11-06-064-26W5/0,7440 BEAVERHILL LAKE GRP,3819.0,Top of Unit,Good Log
3550,00/11-06-064-26W5/0,7560 SWAN HILLS MBR,3829.0,Top of Unit,Good Log
3551,00/11-06-064-26W5/0,7645 WATT MTN FM,3926.0,Top of Unit,Good Log
3552,00/11-06-064-26W5/0,7655 GILWOOD MBR,3929.0,Top of Unit,Good Log
3553,00/11-06-064-26W5/0,7910 PIKA FM,3964.0,Top of Unit,Good Log
3554,00/11-06-064-26W5/0,7915 ELDON FM,3970.0,Top of Unit,Good Log
3555,00/16-34-063-26W5/0,1480 WAPIABI FM,1177.0,Top of Unit,Good Log
3556,00/16-34-063-26W5/0,1660 BADHEART FM,1373.0,Top of Unit,Good Log
3557,00/16-34-063-26W5/0,1680 MUSKIKI FM,1380.0,Top of Unit,Good Log
3558,00/16-34-063-26W5/0,1760 CARDIUM SD,1443.0,Top of Unit,Good Log
3559,00/16-34-063-26W5/0,1860 SECOND WHITE SPECKS,1600.0,Top of Unit,Good Log
3560,00/16-34-063-26W5/0,1900 DOE CREEK MBR,1705.0,Top of Unit,Good Log
3561,00/16-34-063-26W5/0,1920 DUNVEGAN FM,1757.0,Top of Unit,Good Log
3562,00/16-34-063-26W5/0,2060 BASE FISH SCALES MARKER,1890.0,Top of Unit,Good Log
3563,00/16-34-063-26W5/0,2280 PEACE RIVER FM,1947.0,Top of Unit,Good Log
3564,00/16-34-063-26W5/0,2640 SPIRIT RIVER FM,1990.0,Top of Unit,Good Log
3565,00/16-34-063-26W5/0,3040 BLUESKY FM,2261.0,Top of Unit,Good Log
3566,00/16-34-063-26W5/0,3260 GETHING FM,2278.0,Top of Unit,Good Log
3567,00/16-34-063-26W5/0,3480 CADOMIN FM,2388.0,Top of Unit,Good Log
3568,00/16-34-063-26W5/0,4140 FERNIE GRP,2403.0,Top of Unit,Good Log
3569,00/16-34-063-26W5/0,4440 NORDEGG MBR,2450.0,Top of Unit,Good Log
3570,00/16-34-063-26W5/0,5240 MONTNEY FM,2474.0,Top of Unit,Good Log
3571,00/16-34-063-26W5/0,5560 BELLOY FM,2622.0,Top of Unit,Good Log
3572,00/16-34-063-26W5/0,6120 DEBOLT FM,2650.0,Top of Unit,Good Log
3573,00/16-34-063-26W5/0,6400 SHUNDA FM,2806.0,Top of Unit,Questionable Log
3574,00/16-34-063-26W5/0,6420 PEKISKO FM,2891.0,Top of Unit,Good Log
3575,00/16-34-063-26W5/0,6440 BANFF FM,2938.0,Top of Unit,Good Log
3576,00/16-34-063-26W5/0,6480 EXSHAW FM,3144.0,Top of Unit,Good Log
3577,00/16-34-063-26W5/0,6580 WABAMUN GRP,3146.0,Top of Unit,Good Log
3578,00/16-34-063-26W5/0,6700 WINTERBURN GRP,3373.0,Top of Unit,Good Log
3579,00/16-34-063-26W5/0,7100 IRETON FM,3578.0,Top of Unit,Good Log
3580,00/16-34-063-26W5/0,7280 DUVERNAY FM,3747.0,Top of Unit,Good Log
3581,00/16-34-063-26W5/0,7440 BEAVERHILL LAKE GRP,3770.0,Top of Unit,Good Log
3582,00/16-34-063-26W5/0,7645 WATT MTN FM,3880.0,Top of Unit,Good Log
3583,00/14-01-031-23W4/0,1260 BELLY RIVER GRP,599.2,Top of Unit,Good Log
3584,00/14-01-031-23W4/0,1400 LEA PARK FM,833.3,Top of Unit,Good Log
3585,00/14-01-031-23W4/0,1600 COLORADO GRP,976.9,Top of Unit,Good Log
3586,00/14-01-031-23W4/0,1860 SECOND WHITE SPECKS,1271.0,Top of Unit,Good Log
3587,00/14-01-031-23W4/0,2060 BASE FISH SCALES MARKER,1361.8,Top of Unit,Good Log
3588,00/14-01-031-23W4/0,2180 VIKING SANDSTONE,1393.9,Top of Unit,Good Log
3589,00/14-01-031-23W4/0,2480 MANNVILLE GRP,1471.9,Top of Unit,Good Log
3590,00/14-01-031-23W4/0,6420 PEKISKO FM,1624.6,Top of Unit,Good Log
3591,00/14-01-031-23W4/0,6440 BANFF FM,1636.8,Top of Unit,Good Log
3592,00/14-01-031-23W4/0,6480 EXSHAW FM,1788.9,Top of Unit,Good Log
3593,00/14-01-031-23W4/0,6600 BIG VALLEY FM,1794.1,Top of Unit,Good Log
3594,00/14-01-031-23W4/0,6660 STETTLER FM,1805.6,Top of Unit,Good Log
3595,00/14-01-031-23W4/0,6860 CALMAR FM,1973.0,Top of Unit,Good Log
3596,00/14-01-031-23W4/0,6960 NISKU FM,1975.7,Top of Unit,Good Log
3597,00/14-01-031-23W4/0,7100 IRETON FM,2037.3,Top of Unit,Good Log
3598,00/14-01-031-23W4/0,7280 DUVERNAY FM,2161.0,Top of Unit,Good Log
3599,00/14-01-031-23W4/0,7320 COOKING LAKE FM,2228.7,Top of Unit,Good Log
3600,00/14-01-031-23W4/0,7440 BEAVERHILL LAKE GRP,2290.9,Top of Unit,Good Log
3601,00/14-01-031-23W4/0,7635 ELK POINT GRP,2464.0,Top of Unit,Good Log
3602,00/14-01-031-23W4/0,7857 CAMBRIAN SYSTEM,2524.6,Top of Unit,Good Log
3603,00/14-01-031-23W4/0,7867 FINNEGAN FM,2525.6,Top of Unit,Good Log
3604,00/12-14-067-08W5/0,1400 LEA PARK FM,516.5,Top of Unit,Good Log
3605,00/12-14-067-08W5/0,1600 COLORADO GRP,636.0,Top of Unit,Good Log
3606,00/12-14-067-08W5/0,1660 BADHEART FM,684.0,Top of Unit,Good Log
3607,00/12-14-067-08W5/0,1860 SECOND WHITE SPECKS,786.0,Top of Unit,Good Log
3608,00/12-14-067-08W5/0,2060 BASE FISH SCALES MARKER,945.5,Top of Unit,Good Log
3609,00/12-14-067-08W5/0,2140 VIKING FM,973.5,Top of Unit,Good Log
3610,00/12-14-067-08W5/0,2360 JOLI FOU FM,1001.0,Top of Unit,Good Log
3611,00/12-14-067-08W5/0,2480 MANNVILLE GRP,1010.0,Top of Unit,Good Log
3612,00/12-14-067-08W5/0,6440 BANFF FM,1287.0,Top of Unit,Good Log
3613,00/12-14-067-08W5/0,6480 EXSHAW FM,1423.0,Top of Unit,Good Log
3614,00/12-14-067-08W5/0,6580 WABAMUN GRP,1427.7,Top of Unit,Good Log
3615,00/12-14-067-08W5/0,6780 GRAMINIA FM,1678.0,Top of Unit,Good Log
3616,00/12-14-067-08W5/0,6800 BLUERIDGE MBR,1689.5,Top of Unit,Good Log
3617,00/12-14-067-08W5/0,6860 CALMAR FM,1745.5,Top of Unit,Good Log
3618,00/12-14-067-08W5/0,6960 NISKU FM,1752.0,Top of Unit,Good Log
3619,00/12-14-067-08W5/0,7100 IRETON FM,1811.0,Top of Unit,Good Log
3620,00/12-14-067-08W5/0,7280 DUVERNAY FM,2081.0,Top of Unit,Good Log
3621,00/12-14-067-08W5/0,7320 COOKING LAKE FM,2142.0,Top of Unit,Good Log
3622,00/12-14-067-08W5/0,7440 BEAVERHILL LAKE GRP,2149.5,Top of Unit,Good Log
3623,00/12-14-067-08W5/0,7560 SWAN HILLS MBR,2272.0,Top of Unit,Good Log
3624,00/12-14-067-08W5/0,7601 FORT VERMILION MBR,2308.0,Top of Unit,Good Log
3625,00/12-14-067-08W5/0,7645 WATT MTN FM,2311.0,Top of Unit,Good Log
3626,00/12-14-067-08W5/0,7655 GILWOOD MBR,2323.5,Top of Unit,Good Log
3627,00/12-14-067-08W5/0,7685 MUSKEG FM,2332.0,Top of Unit,Good Log
3628,00/06-22-033-25W4/0,1240 BEARPAW FM,571.0,Top of Unit,Questionable Log
3629,00/06-22-033-25W4/0,1300 OLDMAN FM,673.5,Top of Unit,Questionable Log
3630,00/06-22-033-25W4/0,1320 FOREMOST FM,762.0,Top of Unit,Questionable Log
3631,00/06-22-033-25W4/0,1420 PAKOWKI,945.5,Top of Unit,Good Log
3632,00/06-22-033-25W4/0,1600 COLORADO GRP,1100.0,Top of Unit,Good Log
3633,00/06-22-033-25W4/0,1860 SECOND WHITE SPECKS,1370.5,Top of Unit,Good Log
3634,00/06-22-033-25W4/0,2060 BASE FISH SCALES MARKER,1491.0,Top of Unit,Good Log
3635,00/06-22-033-25W4/0,2180 VIKING SANDSTONE,1521.5,Top of Unit,Good Log
3636,00/06-22-033-25W4/0,2360 JOLI FOU FM,1576.5,Top of Unit,Good Log
3637,00/06-22-033-25W4/0,2480 MANNVILLE GRP,1596.0,Top of Unit,Good Log
3638,00/06-22-033-25W4/0,3120 OSTRACOD MEMBER,1705.0,Top of Unit,Good Log
3639,00/06-22-033-25W4/0,6420 PEKISKO FM,1727.5,Top of Unit,Good Log
3640,00/06-22-033-25W4/0,6440 BANFF FM,1760.0,Top of Unit,Questionable Log
3641,00/06-22-033-25W4/0,6480 EXSHAW FM,1934.5,Top of Unit,Questionable Log
3642,00/06-22-033-25W4/0,6600 BIG VALLEY FM,1937.0,Top of Unit,Good Log
3643,00/06-22-033-25W4/0,6660 STETTLER FM,1951.0,Top of Unit,Questionable Log
3644,00/06-22-033-25W4/0,6860 CALMAR FM,2138.5,Top of Unit,Questionable Log
3645,00/06-22-033-25W4/0,6960 NISKU FM,2140.0,Top of Unit,Good Log
3646,00/06-22-033-25W4/0,7100 IRETON FM,2207.0,Top of Unit,Good Log
3647,00/06-22-033-25W4/0,7280 DUVERNAY FM,2323.0,Top of Unit,Good Log
3648,00/06-22-033-25W4/0,7320 COOKING LAKE FM,2390.5,Top of Unit,Good Log
3649,00/06-22-033-25W4/0,7440 BEAVERHILL LAKE GRP,2450.0,Top of Unit,Good Log
3650,00/06-22-033-25W4/0,7560 SWAN HILLS MBR,2511.5,Top of Unit,Good Log
3651,00/06-22-033-25W4/0,7635 ELK POINT GRP,2622.0,Top of Unit,Questionable Log
3652,00/06-14-031-27W4/0,1260 BELLY RIVER GRP,738.73,Top of Unit,Good Log
3653,00/06-14-031-27W4/0,1340 BASAL BELLY RIVER SD,1065.0,Top of Unit,Good Log
3654,00/06-14-031-27W4/0,1400 LEA PARK FM,1075.0,Top of Unit,Good Log
3655,00/06-14-031-27W4/0,1600 COLORADO GRP,1199.0,Top of Unit,Good Log
3656,00/06-14-031-27W4/0,1700 CARDIUM FM,1386.0,Top of Unit,Good Log
3657,00/06-14-031-27W4/0,1860 SECOND WHITE SPECKS,1524.5,Top of Unit,Good Log
3658,00/06-14-031-27W4/0,2060 BASE FISH SCALES MARKER,1633.0,Top of Unit,Good Log
3659,00/06-14-031-27W4/0,2140 VIKING FM,1656.0,Top of Unit,Good Log
3660,00/06-14-031-27W4/0,2360 JOLI FOU FM,1698.0,Top of Unit,Good Log
3661,00/06-14-031-27W4/0,2480 MANNVILLE GRP,1731.0,Top of Unit,Good Log
3662,00/06-14-031-27W4/0,3000 GLAUCONITIC SS,1831.0,Top of Unit,Questionable Log
3663,00/06-14-031-27W4/0,3360 ELLERSLIE MBR,1840.0,Top of Unit,Questionable Log
3664,00/06-14-031-27W4/0,6400 SHUNDA FM,1877.0,Top of Unit,Good Log
3665,00/06-14-031-27W4/0,6420 PEKISKO FM,1917.5,Top of Unit,Good Log
3666,00/06-14-031-27W4/0,6440 BANFF FM,1992.0,Top of Unit,Good Log
3667,00/06-14-031-27W4/0,6480 EXSHAW FM,2147.0,Top of Unit,Good Log
3668,00/06-14-031-27W4/0,6600 BIG VALLEY FM,2150.0,Top of Unit,Good Log
3669,00/06-14-031-27W4/0,6660 STETTLER FM,2153.5,Top of Unit,Good Log
3670,00/06-14-031-27W4/0,6860 CALMAR FM,2357.0,Top of Unit,Good Log
3671,00/06-14-031-27W4/0,6960 NISKU FM,2361.0,Top of Unit,Good Log
3672,00/06-14-031-27W4/0,7100 IRETON FM,2397.0,Top of Unit,Good Log
3673,00/06-14-031-27W4/0,7200 LEDUC FM,2432.0,Top of Unit,Good Log
3674,00/06-14-031-27W4/0,7280 DUVERNAY FM,2487.0,Top of Unit,Good Log
3675,00/06-14-031-27W4/0,7320 COOKING LAKE FM,2598.0,Top of Unit,Good Log
3676,00/06-14-031-27W4/0,7440 BEAVERHILL LAKE GRP,2662.5,Top of Unit,Good Log
3677,00/06-14-031-27W4/0,7560 SWAN HILLS MBR,2693.5,Top of Unit,Good Log
3678,00/06-14-031-27W4/0,7635 ELK POINT GRP,2822.0,Top of Unit,Good Log
3679,00/09-18-049-09W5/0,1400 LEA PARK FM,1320.0,Top of Unit,Good Log
3680,00/09-18-049-09W5/0,1600 COLORADO GRP,1451.0,Top of Unit,Good Log
