,Formatted UWI,Gas Sample Date,Intrvl Base,Intrvl Top,Res Fluid C1c,Res Fluid C2c,Res Fluid C3c,Res Fluid C6c,Res Fluid C7+c,Res Fluid CO2c,Res Fluid H2c,Res Fluid H2Sc,Res Fluid HEc,Res Fluid IC4c,Res Fluid IC5c,Res Fluid N2c,Res Fluid NC4c,Res Fluid NC5c
146,00/09-17-034-25W4/0,2/28/1990 00:00:00,1733.7,1702.0,82.52,8.49,3.8,0.17,0.17,1.21,,,,0.63,0.32,1.22,1.15,0.32
147,00/09-17-034-25W4/0,11/20/2000 00:00:00,927.0,921.0,81.27,8.3,3.89,0.24,0.17,1.09,,,0.03,0.67,0.34,2.48,1.18,0.34
148,00/09-17-034-25W4/0,8/11/1960 00:00:00,1732.48,1702.0,2.72,3.39,5.05,0.0,0.0,0.0,0.0,0.0,0.0,1.85,81.84,0.0,5.15,0.0
149,00/09-17-034-25W4/0,7/27/1960 00:00:00,1732.48,1702.0,83.77,8.18,3.37,0.0,0.0,1.3,0.0,0.0,0.0,0.52,0.71,1.18,0.97,0.0
150,00/09-17-034-25W4/0,6/30/1959 00:00:00,1739.8,1698.35,83.2,8.2,3.61,0.0,0.0,1.0,0.0,0.0,0.0,0.49,1.11,1.23,1.16,0.0
151,00/09-17-034-25W4/0,8/17/1960 00:00:00,1732.48,1702.0,82.74,8.17,3.66,0.0,0.0,1.3,0.0,0.0,0.0,0.6,1.05,1.4,1.08,0.0
152,00/09-17-034-25W4/0,2/12/2003 00:00:00,1733.7,1707.5,82.35,8.39,3.91,0.29,0.31,0.8,0.01,,0.03,0.68,0.34,1.36,1.18,0.35
153,00/11-36-062-25W5/0,10/28/2004 00:00:00,1780.5,1778.0,64.85,10.51,7.49,0.38,0.77,10.48,0.0,0.0,0.0,1.22,0.78,0.32,2.57,0.63
154,00/11-36-062-25W5/0,1/25/2006 00:00:00,1780.5,1778.0,77.05,10.61,6.94,0.22,0.18,0.71,0.0,0.0,0.01,1.0,0.51,0.41,1.96,0.4
155,00/06-11-033-24W4/0,11/14/2000 00:00:00,1663.0,1650.0,78.56,9.94,5.61,0.27,0.15,0.4,,,0.03,1.1,0.47,1.27,1.75,0.45
156,00/06-11-033-24W4/0,12/31/1987 00:00:00,1663.0,1650.0,83.74,8.37,3.74,0.18,0.13,0.26,,,0.03,0.67,0.26,1.4,0.96,0.26
157,00/06-11-033-24W4/0,1/14/2003 00:00:00,1663.0,1650.0,78.01,9.83,5.61,0.35,0.19,0.36,0.01,,0.03,1.12,0.5,1.71,1.8,0.48
158,00/06-11-033-24W4/0,1/23/1987 00:00:00,2454.0,2447.0,56.23,20.86,13.18,0.01,0.01,0.07,0.01,0.0,0.04,1.54,0.08,4.94,3.01,0.02
159,00/15-35-044-02W5/0,2/3/1988 00:00:00,2219.0,2185.0,80.62,5.41,2.27,0.28,0.51,0.93,0.26,4.1,0.7,0.45,0.34,2.64,1.12,0.37
160,00/15-35-044-02W5/0,2/4/1988 00:00:00,2219.0,2185.0,80.62,5.41,2.27,0.28,0.51,0.93,0.26,4.1,0.7,0.45,0.34,2.64,1.12,0.37
161,00/15-35-044-02W5/0,2/1/1988 00:00:00,2317.0,2283.0,5.29,0.91,0.59,0.02,0.0,0.12,0.39,0.0,0.0,0.06,0.03,92.42,0.14,0.03
162,00/10-12-063-15W5/0,4/15/2014 00:00:00,2847.0,2788.0,85.5,9.7,2.57,0.02,0.04,0.64,0.0,0.0,0.05,0.16,0.03,1.11,0.15,0.03
163,00/10-12-063-15W5/0,3/4/2013 00:00:00,2847.0,2788.0,82.51,11.48,3.19,0.0,0.0,0.72,0.0,0.0,0.06,0.18,0.04,1.48,0.31,0.03
164,00/10-12-063-15W5/0,4/29/2005 00:00:00,2847.0,2788.0,84.46,8.5,2.73,0.15,0.23,0.98,0.0,0.02,0.06,0.29,0.15,1.74,0.56,0.13
165,00/10-12-063-15W5/0,3/4/2003 00:00:00,2847.0,2788.0,78.63,10.7,4.62,0.09,0.07,1.43,0.0,0.2,0.07,0.48,0.19,2.29,1.03,0.2
166,00/10-12-063-15W5/0,4/26/2012 00:00:00,2847.0,2788.0,82.31,10.01,3.28,0.11,0.14,0.87,0.01,0.06,0.07,0.33,0.14,1.8,0.71,0.16
167,00/10-12-063-15W5/0,6/29/2011 00:00:00,2847.0,2788.0,82.52,9.18,3.69,0.1,0.09,0.71,0.01,0.05,0.07,0.43,0.17,1.92,0.88,0.18
168,00/10-12-063-15W5/0,3/4/2003 00:00:00,2847.0,2785.0,78.62,10.7,4.62,0.09,0.07,1.43,0.01,0.2,0.07,0.48,0.19,2.29,1.03,0.2
169,00/10-12-063-15W5/0,4/18/2007 00:00:00,2847.0,2788.0,79.91,9.51,4.16,0.08,0.07,1.23,0.01,0.21,0.07,0.5,0.21,2.74,1.1,0.2
170,00/10-12-063-15W5/0,5/9/2011 00:00:00,2847.0,2788.0,81.48,10.19,3.79,0.07,0.06,0.65,0.01,0.05,0.08,0.4,0.13,2.15,0.8,0.14
171,00/10-12-063-15W5/0,2/23/2001 00:00:00,2847.0,2785.0,79.03,11.17,4.24,0.05,0.04,1.66,0.01,0.25,0.09,0.43,0.12,1.94,0.85,0.12
172,00/11-26-053-15W5/0,10/31/1978 00:00:00,3335.0,3315.0,93.93,2.19,0.56,0.05,0.01,0.21,0.04,0.0,0.04,0.15,0.09,2.38,0.26,0.09
173,00/16-34-063-26W5/0,9/5/1995 00:00:00,2393.0,2388.0,84.07,7.63,2.95,0.19,0.26,0.17,0.0,0.0,0.02,0.39,0.21,3.2,0.71,0.2
174,00/16-34-063-26W5/0,11/25/1995 00:00:00,3880.0,3808.5,63.85,20.08,6.57,0.12,0.17,2.74,0.31,0.56,0.29,0.79,0.26,2.48,1.53,0.25
175,00/06-14-031-27W4/0,8/29/1988 00:00:00,2280.0,2240.0,63.31,10.3,4.35,0.2,0.11,0.0,0.09,0.0,0.02,0.67,0.35,18.99,1.33,0.28
176,00/09-18-049-09W5/0,7/29/2002 00:00:00,2173.5,2163.4,78.03,9.14,7.39,0.32,0.29,0.34,,,,1.03,0.54,,2.46,0.46
177,00/09-18-049-09W5/0,4/12/1993 00:00:00,2173.5,2163.4,81.57,8.41,3.52,0.5,1.2,1.94,,,,0.68,0.41,0.35,1.03,0.39
178,00/09-18-049-09W5/0,9/11/2003 00:00:00,2173.5,2163.4,75.84,9.12,7.91,0.41,0.43,0.34,,,,1.15,0.71,0.69,2.72,0.68
179,00/09-18-049-09W5/0,9/11/2003 00:00:00,2173.5,2163.4,82.81,8.68,3.5,0.24,0.39,2.06,,,0.01,0.62,0.3,0.26,0.88,0.25
180,00/09-18-049-09W5/0,3/13/2003 00:00:00,1296.0,1292.0,82.8,8.65,3.48,0.27,0.4,2.07,,,0.01,0.62,0.3,0.27,0.88,0.25
181,00/09-18-049-09W5/0,5/12/2000 00:00:00,2168.0,2163.4,82.63,8.62,3.41,0.37,0.57,2.03,,0.01,0.01,0.6,0.31,0.31,0.87,0.26
182,00/09-18-049-09W5/0,2/26/1981 00:00:00,2173.5,2163.4,81.6,9.29,3.51,0.36,0.7,1.53,,,0.01,0.67,0.34,0.68,0.99,0.32
183,00/09-18-049-09W5/0,5/9/2000 00:00:00,2168.0,2163.4,78.04,9.28,7.3,0.22,0.2,0.39,,,0.01,0.93,0.46,0.69,2.08,0.4
184,00/09-18-049-09W5/0,2/26/1981 00:00:00,2173.5,2163.4,0.01,0.58,3.31,16.15,56.55,0.0,0.0,0.0,0.0,2.64,6.52,0.0,6.69,7.55
185,00/09-18-049-09W5/0,9/17/2013 00:00:00,2168.0,2163.4,81.23,9.1,3.79,0.33,0.53,2.35,0.0,0.0,0.01,0.7,0.36,0.28,1.01,0.31
186,00/09-18-049-09W5/0,1/25/2011 00:00:00,2168.0,2163.4,76.34,9.21,7.54,0.42,0.37,0.43,0.0,0.0,0.01,1.08,0.7,0.69,2.54,0.67
187,00/09-18-049-09W5/0,2/26/1981 00:00:00,2173.5,2163.4,82.44,9.31,3.43,0.23,0.28,1.54,0.0,0.0,0.01,0.63,0.28,0.69,0.91,0.25
188,00/09-18-049-09W5/0,7/20/2010 00:00:00,2168.0,2163.4,71.22,10.85,9.32,0.51,0.52,0.9,0.0,0.0,0.01,1.06,0.76,1.55,2.55,0.75
189,00/09-18-049-09W5/0,11/6/2020 00:00:00,1648.0,1643.0,80.6,9.36,4.03,0.35,0.47,2.25,0.01,0.01,0.01,0.8,0.39,0.3,1.09,0.34
190,00/09-18-049-09W5/0,11/21/2019 00:00:00,2168.0,2163.4,80.49,9.21,4.07,0.42,0.64,2.21,0.01,0.01,0.01,0.76,0.4,0.32,1.1,0.36
191,00/09-18-049-09W5/0,3/25/2004 00:00:00,2173.5,2163.4,81.47,7.28,5.31,0.32,0.24,0.3,0.01,,0.01,0.84,0.6,1.01,2.06,0.55
192,00/06-24-065-17W5/0,3/12/1979 00:00:00,2224.0,2221.0,73.26,4.5,1.62,0.16,0.52,2.59,6.21,4.65,1.03,0.17,0.14,4.46,0.5,0.19
193,00/06-24-065-17W5/0,3/12/1979 00:00:00,2240.0,2221.0,73.26,4.5,1.62,0.16,0.52,2.59,6.21,4.65,1.03,0.17,0.14,4.46,0.5,0.19
194,00/09-29-065-15W5/0,1/9/1998 00:00:00,1378.0,1367.0,96.29,1.5,0.23,0.01,,0.06,,,0.04,0.06,0.05,1.66,0.07,0.03
195,00/10-28-062-12W5/0,9/28/1980 00:00:00,1619.0,1602.0,92.26,2.52,0.34,0.14,0.3,0.02,1.22,0.0,0.0,0.09,0.07,2.92,0.07,0.05
196,00/06-10-052-16W5/0,3/17/1969 00:00:00,2607.56,2583.79,67.08,17.36,9.31,0.22,0.17,0.71,0.0,0.0,0.0,1.3,0.43,0.76,2.2,0.46
197,00/06-10-052-16W5/0,3/17/1969 00:00:00,2607.56,2583.79,73.35,13.95,7.31,0.2,0.2,0.01,0.0,0.0,0.0,1.06,0.33,1.6,1.68,0.31
198,00/01-23-064-27W5/0,3/10/1995 00:00:00,1807.0,1787.0,76.36,12.83,6.65,0.19,0.15,0.16,0.01,0.0,0.02,0.82,0.37,0.71,1.43,0.3
199,02/14-20-047-09W5/0,3/6/2000 00:00:00,2290.0,2287.3,84.12,7.65,2.95,0.37,0.55,2.13,,,0.01,0.58,0.32,0.26,0.79,0.27
200,02/14-20-047-09W5/0,7/5/1979 00:00:00,2290.0,2287.3,81.96,9.73,2.67,0.1,0.05,2.27,,,0.01,0.54,0.29,1.32,0.88,0.18
201,02/14-20-047-09W5/0,1/9/2013 00:00:00,2290.0,2287.3,83.06,8.14,3.52,0.33,0.31,1.99,0.0,0.0,0.01,0.68,0.36,0.26,1.01,0.33
202,02/14-20-047-09W5/0,7/25/2012 00:00:00,2290.0,2287.3,83.0,8.13,3.61,0.35,0.32,1.83,0.0,0.0,0.01,0.7,0.39,0.27,1.03,0.36
203,02/14-20-047-09W5/0,7/29/2014 00:00:00,2290.0,2287.3,83.08,8.21,3.67,0.21,0.08,2.04,0.01,0.0,0.01,0.7,0.33,0.3,1.05,0.31
204,02/14-20-047-09W5/0,12/4/2020 00:00:00,2290.0,2287.3,83.95,8.31,4.12,0.15,0.11,0.59,0.01,0.0,0.01,0.51,0.28,0.52,1.18,0.27
205,02/14-20-047-09W5/0,7/4/1979 00:00:00,2290.0,2287.5,80.12,11.81,3.74,0.14,0.09,2.44,0.06,,0.06,0.58,0.2,,0.61,0.15
206,00/16-01-061-22W5/0,6/23/1982 00:00:00,3420.0,3415.0,82.69,0.32,0.06,,,0.62,0.01,13.15,0.26,0.02,0.01,2.83,0.02,0.01
207,00/16-01-061-22W5/0,11/23/2004 00:00:00,3675.1,3461.4,80.42,0.26,0.04,0.01,0.01,0.73,0.08,14.35,0.25,0.01,0.01,3.82,0.02,0.01
208,00/11-14-064-27W5/0,9/3/1995 00:00:00,3910.0,3828.0,61.27,26.22,8.37,0.11,0.07,0.59,0.01,0.0,0.0,0.8,0.25,0.58,1.49,0.24
209,00/06-29-061-18W5/0,10/8/1982 00:00:00,1797.0,1774.0,85.93,6.46,2.57,0.53,0.68,0.0,0.01,0.0,0.03,0.5,0.5,1.44,0.87,0.48
210,00/08-18-052-14W5/0,3/31/1981 00:00:00,3295.0,3276.0,82.15,7.46,1.36,0.0,0.0,0.1,1.08,0.0,0.01,0.27,0.03,7.37,0.16,0.01
211,00/08-18-052-14W5/0,4/6/1981 00:00:00,3532.0,3495.0,85.09,0.41,0.08,0.01,0.0,0.0,4.28,0.0,0.1,0.02,0.05,9.87,0.07,0.02
212,00/02-15-034-26W4/0,6/9/2011 00:00:00,2235.0,2224.0,62.21,4.68,2.09,0.12,0.07,3.0,0.01,20.26,0.05,0.36,0.25,5.75,0.91,0.24
213,00/03-22-052-19W5/0,9/22/1978 00:00:00,2628.0,2604.5,88.89,7.84,1.52,0.0,0.0,0.95,0.0,0.0,0.0,0.17,0.01,0.45,0.16,0.01
214,00/03-22-052-19W5/0,10/8/1978 00:00:00,3068.0,3040.0,93.45,2.98,0.54,0.04,0.01,0.5,0.13,1.7,0.01,0.15,0.07,0.17,0.18,0.07
215,00/10-09-062-23W5/0,12/12/1978 00:00:00,2418.0,2408.0,89.05,6.38,1.92,0.07,0.0,1.41,0.0,0.0,0.01,0.24,0.12,0.3,0.4,0.1
216,00/07-25-044-10W5/0,5/23/1981 00:00:00,2673.0,2667.5,89.04,3.48,1.46,0.19,0.08,3.14,,0.3,0.01,0.45,0.27,0.67,0.66,0.25
217,00/03-09-065-12W5/0,7/14/2009 00:00:00,2722.0,2696.5,51.38,16.98,13.43,1.02,1.23,2.16,0.0,0.0,0.1,1.96,1.33,3.46,5.66,1.29
218,00/03-09-065-12W5/0,6/17/2000 00:00:00,2722.0,2696.5,69.77,14.71,7.0,0.08,0.06,2.26,0.0,0.0,0.1,0.51,0.17,4.01,1.18,0.15
219,00/03-09-065-12W5/0,12/23/2010 00:00:00,2722.0,2696.5,62.01,16.01,11.43,0.03,0.04,2.29,0.0,0.0,0.13,0.92,0.16,4.72,2.15,0.11
220,00/03-09-065-12W5/0,6/17/2000 00:00:00,2722.0,2696.5,69.76,14.71,7.0,0.08,0.06,2.26,0.01,,0.1,0.51,0.17,4.01,1.18,0.15
221,00/03-09-065-12W5/0,4/17/2000 00:00:00,2722.0,2720.5,53.99,16.6,14.85,0.01,0.01,2.18,0.01,,0.11,1.85,0.78,3.88,5.15,0.58
222,00/03-09-065-12W5/0,4/17/2000 00:00:00,2722.0,2696.5,54.0,16.6,14.85,0.0,0.01,2.18,0.01,0.0,0.11,1.85,0.78,3.88,5.15,0.58
223,00/03-09-065-12W5/0,11/25/1984 00:00:00,2711.0,2696.5,67.11,14.52,8.5,0.1,0.07,2.37,0.01,0.0,0.14,0.62,0.19,4.75,1.43,0.19
224,00/06-21-051-18W5/0,3/16/1986 00:00:00,3601.0,3597.5,92.26,0.31,0.03,,,1.69,,5.25,0.02,,,0.44,,
225,00/06-21-051-18W5/0,12/27/1985 00:00:00,2974.71,2974.7,92.97,4.52,0.51,0.01,0.0,1.49,0.0,0.0,0.01,0.05,0.01,0.37,0.04,0.02
226,00/06-21-051-18W5/0,7/26/2006 00:00:00,3601.0,3597.5,89.03,0.46,0.02,0.04,0.21,2.22,0.0,7.07,0.02,0.01,0.01,0.89,0.01,0.01
227,00/06-21-051-18W5/0,12/17/2007 00:00:00,3601.0,3597.5,88.78,0.53,0.02,0.01,0.04,2.32,0.0,7.26,0.02,0.02,0.01,1.01,0.01,0.01
228,00/06-21-051-18W5/0,7/13/1986 00:00:00,3601.0,3597.5,92.66,0.27,0.04,,,1.62,0.03,5.0,0.01,,,0.37,,
229,00/06-21-051-18W5/0,1/28/1986 00:00:00,3065.0,3060.0,89.43,3.54,0.92,0.07,0.06,3.48,0.17,1.48,0.01,0.21,0.1,0.2,0.25,0.08
230,00/06-06-065-15W5/0,8/12/2010 00:00:00,1752.0,1743.2,82.51,7.64,4.44,0.31,0.44,2.12,0.0,0.0,0.02,0.51,0.29,0.35,1.05,0.32
231,00/13-24-055-22W5/0,3/30/1994 00:00:00,3019.0,2999.0,94.32,0.86,0.22,0.18,0.24,3.26,,,0.01,0.2,0.18,0.27,0.16,0.1
232,00/13-24-055-22W5/0,6/14/2016 00:00:00,3019.0,2999.2,94.37,0.86,0.21,0.18,0.08,3.46,0.0,0.0,0.01,0.19,0.18,0.23,0.14,0.09
233,00/13-24-055-22W5/0,6/28/2014 00:00:00,3019.0,2999.2,94.26,0.87,0.15,0.2,0.11,3.47,0.0,0.0,0.01,0.2,0.2,0.27,0.15,0.11
234,00/13-24-055-22W5/0,8/15/1982 00:00:00,3019.0,2999.0,93.49,0.8,0.21,0.27,0.42,3.85,0.0,0.0,0.02,0.17,0.2,0.32,0.13,0.12
235,00/13-24-055-22W5/0,8/16/1982 00:00:00,3019.0,2999.0,92.67,0.81,0.23,0.34,0.86,3.67,0.0,0.0,0.02,0.18,0.2,0.73,0.16,0.13
236,00/13-24-055-22W5/0,10/24/2003 00:00:00,3019.0,2999.0,89.0,7.28,1.1,0.17,0.13,0.93,0.01,,0.01,0.3,0.16,0.65,0.17,0.09
237,00/13-24-055-22W5/0,6/5/2003 00:00:00,3019.0,2999.0,93.31,0.92,0.24,0.22,0.16,3.61,0.01,0.01,0.01,0.23,0.21,0.78,0.18,0.11
238,00/13-24-055-22W5/0,1/19/1981 00:00:00,2100.0,2065.0,82.5,9.64,4.23,0.31,0.24,0.0,0.02,0.0,0.01,0.62,0.4,0.41,1.26,0.36
239,00/13-24-055-22W5/0,2/14/1981 00:00:00,3019.0,2999.0,95.24,1.06,0.25,0.45,1.54,0.02,0.22,,,0.27,0.32,0.22,0.23,0.18
240,00/13-24-055-22W5/0,3/30/1994 00:00:00,3019.0,2999.0,95.85,1.3,0.08,0.23,0.32,,1.23,,,0.04,0.27,0.31,0.23,0.14
241,02/09-23-040-09W5/0,9/24/1982 00:00:00,2321.0,2318.0,82.03,7.85,3.62,0.61,2.37,0.61,,,0.01,0.52,0.46,0.32,1.16,0.44
242,02/09-23-040-09W5/0,5/12/1989 00:00:00,2319.1,2277.0,84.66,8.25,3.74,0.17,0.08,0.71,,,0.01,0.5,0.28,0.34,1.0,0.26
243,02/09-23-040-09W5/0,12/8/1983 00:00:00,2321.4,2319.0,0.0,0.12,3.27,67.75,0.0,0.0,0.0,0.0,0.0,2.56,7.5,0.0,9.3,9.5
244,02/09-23-040-09W5/0,12/8/1983 00:00:00,2321.4,2319.0,0.0,22.64,9.73,5.56,33.36,0.02,0.0,0.41,0.0,11.97,8.49,0.0,3.09,4.73
245,02/09-23-040-09W5/0,10/18/1956 00:00:00,2316.49,2316.48,0.87,0.2,0.31,0.0,0.0,0.21,0.0,0.0,0.0,0.36,97.47,0.0,0.58,0.0
246,02/09-23-040-09W5/0,1/26/2007 00:00:00,2321.4,2276.7,82.08,9.14,4.88,0.21,0.12,0.67,0.0,0.0,0.0,0.63,0.32,0.37,1.28,0.3
247,02/09-23-040-09W5/0,12/8/1983 00:00:00,2321.4,2319.0,85.42,8.16,3.57,0.09,0.02,0.63,0.0,0.0,0.01,0.44,0.22,0.35,0.89,0.2
248,02/09-23-040-09W5/0,2/17/2009 00:00:00,2318.9,2276.9,81.95,9.14,5.05,0.11,0.07,0.58,0.0,0.0,0.01,0.66,0.28,0.58,1.35,0.22
249,02/09-23-040-09W5/0,1/25/2006 00:00:00,2318.9,2276.9,82.97,8.41,4.02,0.34,0.26,0.56,0.0,0.0,0.01,0.56,0.45,0.63,1.35,0.44
250,02/09-23-040-09W5/0,2/11/2008 00:00:00,2318.9,2276.9,82.66,8.74,4.77,0.15,0.06,0.5,0.0,0.0,0.01,0.54,0.27,0.87,1.14,0.29
251,02/09-23-040-09W5/0,1/31/2012 00:00:00,2318.9,2276.9,81.99,8.89,4.77,0.24,0.19,0.77,0.01,0.0,0.01,0.69,0.38,0.34,1.38,0.35
252,02/09-23-040-09W5/0,4/24/2014 00:00:00,2318.9,2276.9,79.1,9.57,5.47,0.42,0.29,0.75,0.01,0.0,0.01,0.87,0.59,0.38,1.96,0.59
253,02/09-23-040-09W5/0,1/18/2011 00:00:00,2318.9,2276.9,80.66,9.4,5.28,0.25,0.17,0.88,0.01,0.0,0.01,0.64,0.43,0.38,1.48,0.42
254,02/09-23-040-09W5/0,8/31/2018 00:00:00,2318.9,2276.9,81.03,9.67,5.0,0.18,0.15,0.84,0.01,0.0,0.01,0.67,0.33,0.41,1.42,0.29
255,02/09-23-040-09W5/0,1/14/2010 00:00:00,2318.9,2276.9,81.65,8.98,5.28,0.16,0.13,0.59,0.01,0.0,0.01,0.69,0.33,0.52,1.38,0.28
256,02/09-23-040-09W5/0,7/14/2016 00:00:00,2318.9,2276.9,81.75,9.02,5.08,0.19,0.16,0.59,0.01,0.0,0.01,0.65,0.3,0.57,1.39,0.29
257,02/09-23-040-09W5/0,5/27/2002 00:00:00,2318.9,2276.9,82.67,7.81,4.4,0.23,0.22,0.59,0.01,,0.01,0.7,0.4,0.79,1.78,0.39
258,00/09-29-055-18W5/0,2/12/1997 00:00:00,2584.0,2574.0,81.51,9.33,2.87,0.12,1.82,2.78,,,,0.47,0.17,0.2,0.6,0.13
259,00/09-29-055-18W5/0,12/23/1996 00:00:00,2595.0,2557.0,86.43,8.65,1.92,0.0,0.0,2.23,0.0,0.0,0.01,0.21,0.04,0.28,0.21,0.02
260,00/09-29-055-18W5/0,12/20/1996 00:00:00,1898.0,1885.0,93.09,2.17,0.52,0.03,0.04,3.14,0.04,0.0,0.01,0.11,0.05,0.58,0.17,0.05
261,00/09-29-055-18W5/0,12/20/1996 00:00:00,2595.0,577.0,95.28,3.99,0.02,0.0,0.0,0.01,0.12,0.0,0.01,0.0,0.0,0.57,0.0,0.0
262,00/11-16-049-14W5/0,3/2/1980 00:00:00,3166.0,3161.5,59.06,4.03,1.54,0.25,1.02,7.03,0.01,23.95,0.02,0.24,0.17,2.0,0.48,0.2
263,00/11-16-049-14W5/0,2/9/1979 00:00:00,3166.0,3161.0,56.66,5.14,1.32,0.06,0.04,8.7,0.04,19.12,,0.25,0.08,8.18,0.34,0.07
264,00/11-16-049-14W5/0,2/4/1980 00:00:00,3166.0,3161.0,56.66,5.14,1.32,0.06,0.04,8.7,0.04,19.12,0.0,0.25,0.08,8.18,0.34,0.07
265,00/11-16-049-14W5/0,2/17/1980 00:00:00,3166.0,3161.0,60.88,3.23,1.1,0.13,0.04,11.85,0.14,20.4,0.03,0.22,0.16,1.3,0.38,0.14
266,00/05-07-056-24W5/0,6/6/1980 00:00:00,2305.0,2297.0,82.28,8.94,4.18,0.33,0.59,0.68,,,,0.6,0.38,0.44,1.2,0.38
267,00/05-07-056-24W5/0,7/17/1980 00:00:00,2316.0,2296.0,81.85,8.01,3.64,0.3,0.25,0.01,0.06,0.0,0.01,0.54,0.39,3.42,1.15,0.37
268,00/05-07-056-24W5/0,7/17/1980 00:00:00,2316.0,2290.0,75.22,6.88,3.19,0.31,0.24,0.04,0.14,0.0,0.02,0.46,0.35,11.8,1.0,0.35
269,00/10-01-056-19W5/0,1/31/1993 00:00:00,2222.0,2217.0,77.03,6.37,1.95,0.61,0.35,6.78,,0.26,,0.31,0.39,4.71,0.79,0.45
270,00/10-01-056-19W5/0,4/6/1994 00:00:00,3681.0,3678.0,65.03,4.84,2.47,0.18,0.11,1.7,,19.2,0.22,0.61,0.23,4.34,0.84,0.23
271,00/10-01-056-19W5/0,12/10/1992 00:00:00,3681.0,3678.0,57.68,4.74,3.3,0.41,0.3,1.56,0.01,25.0,0.19,0.84,0.43,3.85,1.24,0.45
272,00/14-17-055-19W5/0,9/2/1970 00:00:00,2499.6,2488.4,83.46,7.96,2.3,0.12,0.13,0.26,,,,0.35,0.11,4.8,0.42,0.09
273,00/14-17-055-19W5/0,9/2/1970 00:00:00,2496.62,2488.39,83.45,7.96,2.3,0.12,0.13,0.26,0.0,0.0,0.01,0.35,0.11,4.8,0.42,0.09
274,00/14-17-055-19W5/0,8/25/1970 00:00:00,3589.6,3582.0,29.05,,,,,2.93,14.63,50.4,0.21,,,2.78,,
275,00/14-17-055-19W5/0,8/23/1970 00:00:00,3589.63,3582.01,29.05,0.0,0.0,0.0,0.0,2.93,14.63,50.4,0.21,0.0,0.0,2.78,0.0,0.0
276,00/06-29-045-14W5/0,4/19/1979 00:00:00,1978.5,1972.0,85.22,6.79,4.0,0.08,0.01,0.01,0.02,0.0,0.04,0.55,0.19,2.07,0.88,0.14
277,00/16-09-066-13W5/0,10/23/1984 00:00:00,2334.0,2329.0,84.57,1.68,0.32,0.05,0.03,0.44,,11.67,,0.06,0.06,0.88,0.17,0.07
278,00/16-09-066-13W5/0,10/23/1984 00:00:00,2334.0,2329.0,90.67,2.03,0.38,0.05,0.05,0.9,,4.49,,0.03,0.05,1.14,0.15,0.06
279,00/16-09-066-13W5/0,12/22/1999 00:00:00,2333.3,2331.0,80.52,1.61,0.37,0.05,0.09,0.41,,14.7,0.09,0.06,0.05,1.83,0.16,0.06
280,00/16-09-066-13W5/0,10/26/1984 00:00:00,2335.0,2328.0,97.03,1.7,0.44,0.03,0.02,0.14,0.0,0.0,0.0,0.07,0.06,0.26,0.18,0.07
281,00/16-09-066-13W5/0,10/26/1984 00:00:00,2335.0,2328.0,96.07,1.96,0.44,0.05,0.01,0.12,0.0,0.0,0.0,0.07,0.05,0.98,0.18,0.07
282,00/11-22-044-16W5/0,12/31/1978 00:00:00,2873.0,2837.5,86.12,7.22,1.8,0.03,,0.07,0.01,0.23,0.01,0.21,0.09,3.72,0.43,0.06
283,00/11-22-044-16W5/0,5/19/2001 00:00:00,4805.0,4719.0,78.59,0.03,0.01,0.01,0.01,10.23,0.03,10.2,0.02,0.01,0.01,0.83,0.01,0.01
284,00/11-22-044-16W5/0,2/19/2001 00:00:00,4676.8,4675.0,91.0,1.15,0.14,0.04,0.13,0.07,6.99,,0.01,0.03,0.01,0.38,0.04,0.01
285,00/06-26-047-15W5/0,5/26/1960 00:00:00,3212.6,3192.8,79.78,9.54,4.22,,,2.33,,0.16,,0.71,,0.54,1.23,1.49
286,00/06-26-047-15W5/0,7/15/1974 00:00:00,3104.39,3087.9,79.0,10.05,4.26,0.45,0.68,2.31,0.0,0.0,0.0,0.84,0.5,0.14,1.34,0.43
287,00/06-26-047-15W5/0,8/24/1960 00:00:00,3107.44,3087.93,77.05,10.86,5.28,0.0,0.0,2.31,0.0,0.0,0.0,0.87,1.16,0.97,1.5,0.0
288,00/11-14-066-13W5/0,12/20/1984 00:00:00,2895.2,2885.3,34.42,12.67,23.75,0.82,0.54,2.2,0.0,0.0,0.0,3.54,2.12,6.96,10.02,2.96
289,00/10-07-047-17W5/0,10/13/1979 00:00:00,2791.0,2774.0,71.27,8.68,5.04,1.38,1.32,0.63,0.05,0.0,0.01,1.04,1.23,5.61,2.52,1.23
290,00/08-23-043-16W5/0,2/24/1981 00:00:00,4988.0,4954.0,60.85,0.01,,,,18.81,1.84,18.49,,,,,,
291,00/01-09-040-12W5/0,4/27/1984 00:00:00,3718.0,3698.0,95.66,1.34,0.11,0.04,0.02,0.04,0.03,0.0,0.01,0.05,0.11,2.3,0.22,0.07
292,00/04-04-036-10W5/0,9/14/1998 00:00:00,991.0,983.0,91.46,4.3,1.56,0.05,0.02,0.3,,0.6,0.02,0.29,0.12,0.84,0.37,0.07
293,00/04-04-036-10W5/0,10/16/1998 00:00:00,991.0,983.0,90.26,4.17,1.49,0.06,0.05,0.47,0.01,0.3,0.02,0.28,0.18,2.27,0.37,0.07
294,00/10-35-059-03W5/0,10/29/1964 00:00:00,871.73,862.58,91.16,4.13,1.91,0.11,0.07,0.0,0.0,0.0,0.05,0.27,0.15,1.57,0.46,0.12
